iter	Passed	Remaining
0	168	167865
1	174	86896
2	185	61726
3	192	48018
4	195	38871
5	197	32720
6	199	28251
7	200	24900
8	202	22334
9	205	20342
10	206	18596
11	208	17140
12	209	15910
13	210	14838
14	211	13915
15	212	13099
16	214	12379
17	215	11737
18	216	11156
19	218	10724
20	219	10248
21	220	9814
22	221	9417
23	222	9053
24	223	8716
25	224	8403
26	225	8113
27	225	7845
28	226	7595
29	227	7362
30	228	7143
31	229	6938
32	230	6747
33	232	6606
34	233	6444
35	234	6284
36	235	6131
37	236	5987
38	237	5849
39	238	5716
40	239	5590
41	239	5471
42	240	5358
43	241	5249
44	242	5146
45	243	5046
46	244	4951
47	245	4865
48	246	4791
49	247	4707
50	248	4626
51	249	4548
52	250	4472
53	251	4399
54	251	4329
55	252	4261
56	253	4197
57	254	4134
58	255	4073
59	256	4014
60	257	3957
61	257	3901
62	259	3852
63	261	3817
64	261	3768
65	262	3719
66	263	3671
67	264	3625
68	265	3580
69	266	3536
70	267	3494
71	267	3453
72	268	3413
73	269	3374
74	270	3336
75	271	3299
76	272	3262
77	272	3226
78	275	3209
79	276	3177
80	277	3144
81	277	3111
82	278	3076
83	279	3045
84	280	3015
85	280	2986
86	281	2957
87	282	2929
88	283	2903
89	284	2876
90	285	2850
91	286	2825
92	287	2800
93	290	2799
94	291	2775
95	292	2752
96	293	2728
97	293	2705
98	294	2682
99	295	2661
100	296	2639
101	297	2618
102	298	2598
103	299	2577
104	300	2557
105	300	2538
106	301	2519
107	304	2514
108	306	2502
109	306	2483
110	307	2465
111	308	2447
112	309	2430
113	310	2413
114	311	2395
115	312	2378
116	312	2360
117	313	2344
118	314	2328
119	315	2312
120	316	2297
121	316	2280
122	317	2265
123	320	2264
124	321	2250
125	322	2235
126	323	2220
127	324	2207
128	324	2193
129	325	2180
130	326	2166
131	327	2153
132	328	2140
133	329	2127
134	330	2114
135	330	2102
136	331	2089
137	332	2077
138	335	2076
139	336	2066
140	337	2055
141	338	2042
142	338	2030
143	339	2019
144	340	2008
145	341	1997
146	342	1986
147	343	1975
148	343	1964
149	344	1954
150	345	1944
151	346	1933
152	347	1923
153	349	1920
154	351	1913
155	351	1903
156	352	1893
157	353	1884
158	354	1874
159	355	1865
160	355	1854
161	356	1844
162	357	1835
163	358	1826
164	359	1817
165	360	1809
166	360	1800
167	361	1791
168	362	1783
169	364	1781
170	365	1773
171	366	1765
172	367	1757
173	368	1749
174	369	1741
175	370	1733
176	371	1725
177	372	1717
178	372	1710
179	373	1702
180	374	1694
181	375	1687
182	376	1680
183	377	1672
184	379	1673
185	380	1666
186	381	1659
187	382	1652
188	383	1645
189	384	1638
190	385	1631
191	385	1624
192	386	1617
193	387	1610
194	388	1603
195	389	1596
196	390	1590
197	390	1583
198	391	1577
199	392	1571
200	395	1571
201	396	1564
202	396	1558
203	397	1552
204	398	1546
